,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,SIE
0,Cole Swider,LAL,2022-2023,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,inf,0.0,0.0,0.0,0.0,125.0,50.0,75.0,0.0,3,20.0,0.6512946823255371
1,Cody Martin,CHA,2022-2023,1,100.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,300.0,-300.0,0.0,-6,0.0,0.12437049412164589
2,Trevor Keels,NYK,2022-2023,1,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,66.7,-66.7,0.0,-2,0.0,0.48440446641510937
3,Buddy Boeheim,DET,2022-2023,1,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,66.7,0.0,66.7,0.0,2,0.0,0.021437506757848133
4,Marko Simonovic,CHI,2022-2023,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,200.0,-200.0,0.0,-8,-10.0,0.18809623918844726
5,Trevor Hudgins,HOU,2022-2023,1,0.0,4.0,3.0,0.75,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.5,1.5,100.0,133.3,-33.30000000000001,0.0,-2,18.8,0.7369591000403222
6,McKinley Wright IV,DAL,2022-2023,1,100.0,5.0,2.0,0.4,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,inf,1.0,0.0,0.25,0.25,127.3,100.0,27.3,0.0,3,13.5,0.6177197161356558
7,Tyler Dorsey,DAL,2022-2023,1,100.0,4.0,9.0,2.25,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,,0.0,0.0,1.125,1.125,110.0,100.0,10.0,0.0,2,47.7,1.708274332829724
8,Joshua Primo,SAS,2022-2023,4,75.0,23.5,7.0,0.2978723404255319,2.25,6.5,34.61538461538461,0.75,3.0,25.0,1.75,2.25,77.77777777777779,0.5,2.75,3.25,4.5,2.75,1.6363636363636365,0.25,0.5,0.4038461538461538,0.4672897196261682,112.61702127659576,111.168085106383,1.448936170212761,2.0,-2,5.174468085106383,0.780148410755829
9,Delon Wright,WAS,2022-2023,4,75.0,23.0,6.5,0.2826086956521739,2.5,6.0,41.66666666666667,0.75,3.0,25.0,0.75,1.25,60.0,1.0,1.5,2.5,3.25,1.0,3.25,2.75,1.0,0.4791666666666667,0.4961832061068702,86.8858695652174,100.46521739130436,-13.579347826086943,1.25,-27,14.14891304347826,0.7945122846706438
10,Mark Williams,CHA,2022-2023,3,66.66666666666666,4.0,3.6666666666666665,0.9166666666666666,1.3333333333333333,2.333333333333333,57.14285714285714,0.0,0.0,,1.0,1.0,100.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.0,0.6666666666666666,0.0,0.0,0.0,0.5714285714285714,0.6610576923076923,136.66666666666666,124.09166666666664,12.575000000000005,1.0,4,9.225,0.8718585368862212
11,Blake Wesley,SAS,2022-2023,2,100.0,11.5,8.0,0.6956521739130435,3.0,4.5,66.66666666666666,1.0,1.5,66.66666666666666,1.0,2.0,50.0,0.5,0.5,1.0,2.0,1.0,2.0,0.0,0.0,0.7777777777777778,0.7434944237918216,119.20869565217392,146.83043478260868,-27.621739130434747,1.5,-10,10.069565217391304,0.7843369324171983
12,Dereon Seabron,NOP,2022-2023,2,50.0,1.5,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,111.13333333333333,133.33333333333331,-22.19999999999999,0.0,-1,0.0,0.26834460939179006
13,Jordan Schakel,WAS,2022-2023,2,0.0,3.0,1.5,0.5,0.5,1.0,50.0,0.5,0.5,100.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,inf,0.5,0.0,0.75,0.75,133.33333333333334,83.33333333333334,50.0,0.5,6,10.0,0.7237508215937762
14,Jae'Sean Tate,HOU,2022-2023,3,0.0,22.666666666666668,8.333333333333334,0.3676470588235294,3.333333333333333,6.666666666666667,50.0,0.6666666666666666,1.6666666666666667,40.0,1.0,1.3333333333333333,75.0,2.6666666666666665,1.6666666666666667,4.333333333333333,3.333333333333333,1.6666666666666667,2.0,1.0,0.0,0.55,0.5744485294117647,102.72058823529412,110.2529411764706,-7.53235294117647,5.0,-10,6.211764705882353,0.8046535691919812
